CANADA 90ITEMS
09002N
11701140
001003
(I5,I2,I1,1X,I1,70I1)
(I5,I2,I1,1X,I1,70I1)
   26220 2311111333313311131131313311333
   27180 1333131333333333133311113311113131311311311131313313311111331
   27180 2333113113133333131133313331313
   28211 1133131113333311132311113111111131111313332113333313331111113
   28211 2323113331333131111311313331333
   29191 1333331133333131333111133313311133111313311133133313331131133
   29191 2333313113333331131133313331313
   30360 1331133113331131113111111113131111333331111133133113331133313
   30360 2313111113133111113113113331333
   31191 1331133131331333133113113313111131111113333331333311131311333
   31191 2313313313111311113113313111333
   32220 1333333331333133333313133333111331313333111113333311333131331
   32220 2333313111333313131133313331333
   33180 1331313131331331333111113311311131113313311133313313331131133
   33180 2313331313331311111113311331113
   34180 1333133313333133333311113311311131313313111133113313331313333
   34180 2313311113333311131111313331313
   35191 1313333333133313333131131313311131111333331133133311333111333
   35191 2311311313333313113133313331333
   36191 1333113113131331333111113111111131113311311113313311311333133
   36191 2311111311331311111113311331113
   37190 1133131313133333133313131113311331331331113111133113331113313
   37190 2311113113133313131133113311333
   38180 1333133333333131331111113313311131113333311133133313313113313
   38180 2313113131333311131113313331313
   39190 1333133111333333133131133311111131313333313133133313331111331
   39190 2313313113331331111333311331333
   40190 1133333133131131333111113311111131113311311131133313331113133
   40190 2313111111131311111133313311313
   41180 1333331333333133333113113311311131133313311133313313331131111
   41180 2313313133331331111331313331313
   42181 1333133333333133333111131313311131333333331133133313331333333
   42181 2313333113333333111113313331333
   43221 1131133111313331113111113113111111311311111111111113311311311
   43221 2311313113131331111113311311133
   44241 1313131333333133333333133313311313311331331133333313333133313
   44241 2333313131333333131333313331313
   45201 1132113131313331333111113311111133113113113331133313311133133
   45201 2313113133133111113313313331111
   46200 1333133133333133133311113311111333333331311133133313331313333
   46200 2313113311331311133311313333313
   47180 1333113331333111313313111113131311311133131111111113131311111
   47180 2311111131133333111133113311313
   48191 1331313333333313113333132313331311311333133131133313331113333
   48191 2331313331133313133133113311333
   49230 1133133333333131133311111313311111333333131131133311333133333
   49230 2331313313113331313113331333131
   50201 1311333131333331333111133311111131113313311133133313331131133
   50201 2313113111333111111313111333313
   51190 1331133113333331133331113313111131333313311133113313333313113
   51190 2313313111131313111133311131133
   52220 1333133333333331133311113311311131311313311133113313331133113
   52220 2311311113333311111133313331333
   53181 1313133133333131333133113311311131111313313133113313331111333
   53181 2313111133331311111113313331333
