ZIMBAWE 90ITEMS
09002N
11641146
001003
(I5,I2,I1,1X,I1,70I1)
(I5,I2,I1,1X,I1,70I1)
   63231 2333333333333113331311131113333333311
   64220 1333133113333333133331111113131131111333313133133313331
   64220 2333333313313113331111113313311131333
   65251 1113333111133113111313113113131311311333131313133311133
   65251 2311133331313111133331111133111311111
   66311 1133123313333111133113133113111131331333113131113331331
   66311 2333333333111133332311131113113331332
   67321 1133333313333131133333133313311133113331311111113311331
   67321 2133313313111113131331133113311333331
   68261 1333313113333313133313131113111111333333321133133311331
   68261 2333311333311333333311133133313333333
   69411 1113313113331311223113113113131111131333333111133121333
   69411 2313313331111113113311111313112331333
   70220 1333313313333311133333113113131131133333313133133311331
   70220 2313113311113111333311123113113331333
   71250 1331113113133111333313133113333111131331113111133311333
   71250 2311113313113111333311113133111333333
   72240 1133313313333133131313133313131133113333313333133311333
   72240 2333313331111313331311133333313331331
   73211 1333133113333133133331133313311131113313311133133313333
   73211 2331313313111131333331113123313331333
   74261 1331333133333133331113133313131133113333131133133313311
   74261 2113333333333111333311313313313313333
   75281 1133131113333113133131133111131113133333111131133311331
   75281 2313333313311113133311131313113333333
   76281 1131113113133331133313131313111311331333113133131331331
   76281 2313113311111111333113133131311113313
   77411 1131113113333331133131111313113131133331111133133313331
   77411 2311113313113113333111113113311331333
   78291 1333113313333131133311133313331311311333113131133313331
   78291 2313331333133131133311111113313331333
   79680 1331113313133311133333131111131111331311133111113113133
   79680 2313313311311111133111113133111311333
   80470 1131133213333333133313131313113311311333311131133111331
   80470 2333313333311113333331111133313333313
   81220 1111333313333311133131113313311131313333311113131311331
   81220 2133313311311331333311113131311331233
   82231 1131133131133311333111313113113111111313111133113331331
   82231 2331313311111111311113113113111311133
   83210 1133133333333333333311133313311131311333313131113313311
   83210 2113331333113333331311111233313331313
   84180 1131113333133331133311131313311331311333331131333313333
   84180 2133311333113133133333131111313311333
   85290 1333133313333313313313133113131331331333331131313311331
   85290 2113313313313113133133111133313313333
   86270 1333333313333131333131131113113113113333113131133311331
   86270 2313313333131131331311131133113333133
   87331 1131113113133111113313113313111311333333313111131331133
   87331 2333333333131333333333333133313333333
   88381 1131311313331131131131131113111111131311113111131311331
   88381 2331133331131111331311133111311331333
